ElementID,exx,eyy,ezz,exy,eyz,exz,VonMises,Volumetric,MaxShear,Jacobian
86,0,-0.241938,-0.241938,0.0442463,3.74999e-11,0.00348226,0.11967,-0.483876,0.128854,20
87,0,-0.149988,-0.149988,0.0431569,6.24994e-12,0.010361,0.079451,-0.299976,0.0871435,20
88,0,-0.0789685,-0.0789685,0.0410047,-1.0625e-11,0.0169847,0.0519522,-0.157937,0.0594043,20
89,0,-0.0306276,-0.0306276,0.0378429,-1.0625e-11,0.0231901,0.039009,-0.0612551,0.0469508,20
90,0,-0.00615583,-0.00615583,0.0337492,-9.54098e-18,0.0288246,0.0363547,-0.0123117,0.0444898,20
91,0,-0.921783,-0.921783,0.0650361,-2.4375e-10,-0.0263622,0.438294,-1.84357,0.466203,20
92,0,-0.767274,-0.767274,0.0683594,-1.91875e-10,-0.0158638,0.366207,-1.53455,0.390003,20
93,0,-0.618496,-0.618496,0.0699994,1.08125e-10,-0.0049747,0.297139,-1.23699,0.31711,20
94,0,-0.479112,-0.479112,0.0699158,-3.75001e-11,0.00603686,0.23301,-0.958224,0.249623,20
95,0,-0.352554,-0.352554,0.0681107,-1.5625e-10,0.0168998,0.175796,-0.705108,0.189732,20
96,0,-0.241938,-0.241938,0.0646284,-6.25001e-11,0.0273466,0.127635,-0.483876,0.139851,20
97,0,-0.149988,-0.149988,0.0595548,-2.42861e-17,0.03712,0.0910073,-0.299976,0.102707,20
98,0,-0.0789685,-0.0789685,0.0530147,-3.12501e-11,0.0459794,0.0683293,-0.157937,0.0805212,20
99,0,-0.0306276,-0.0306276,0.0451692,-6.25e-11,0.0537066,0.0590895,-0.0612551,0.0718274,20
100,0,-0.00615583,-0.00615583,0.0362116,-3.125e-11,0.0601115,0.0573719,-0.0123117,0.0702434,20
101,0,-0.921783,-0.921783,-0.0625738,-1.3125e-10,-0.00492466,0.437544,-1.84357,0.465146,20
102,0,-0.767274,-0.767274,-0.061033,-5.81249e-11,-0.0146527,0.365309,-1.53455,0.388738,20
103,0,-0.618496,-0.618496,-0.0579894,1.325e-10,-0.02402,0.296032,-1.23699,0.315554,20
104,0,-0.479112,-0.479112,-0.0535179,1.21875e-10,-0.0327958,0.231597,-0.958224,0.247643,20
105,0,-0.352554,-0.352554,-0.0477286,6.25e-11,-0.0407641,0.173918,-0.705108,0.187118,20
106,0,-0.241938,-0.241938,-0.0407641,-2.08167e-17,-0.0477286,0.125036,-0.483876,0.136284,20
107,0,-0.149988,-0.149988,-0.0327958,3.12498e-12,-0.0535179,0.0873253,-0.299976,0.0977949,20
108,0,-0.0789685,-0.0789685,-0.02402,-7.5001e-12,-0.0579894,0.0633425,-0.157937,0.0741535,20
109,0,-0.0306276,-0.0306276,-0.0146527,1.08125e-10,-0.061033,0.0532442,-0.0612551,0.0646084,20
110,0,-0.00615583,-0.00615583,-0.00492466,1.1875e-10,-0.0625738,0.0513314,-0.0123117,0.0628427,20
111,0,-0.921783,-0.921783,-0.0312869,-3.12499e-11,-0.00246233,0.435287,-1.84357,0.461959,20
112,0,-0.767274,-0.767274,-0.0305165,-5.18749e-11,-0.00732636,0.362603,-1.53455,0.384919,20
113,0,-0.618496,-0.618496,-0.0289947,-2.99999e-11,-0.01201,0.292686,-1.23699,0.310837,20
114,0,-0.479112,-0.479112,-0.026759,-2.81249e-11,-0.0163979,0.227305,-0.958224,0.241603,20
115,0,-0.352554,-0.352554,-0.0238643,-1.87499e-11,-0.020382,0.168159,-0.705108,0.179049,20
116,0,-0.241938,-0.241938,-0.020382,-4.37499e-11,-0.0238643,0.116894,-0.483876,0.124974,20
117,0,-0.149988,-0.149988,-0.0163979,-4.06249e-11,-0.026759,0.0752053,-0.299976,0.0812961,20
118,0,-0.0789685,-0.0789685,-0.01201,-1.75e-11,-0.0289947,0.045193,-0.157937,0.0504375,20
119,0,-0.0306276,-0.0306276,-0.00732636,1.0625e-11,-0.0305165,0.0294122,-0.0612551,0.0349205,20
120,0,-0.00615583,-0.00615583,-0.00246233,3.125e-11,-0.0312869,0.0257884,-0.0123117,0.0315342,20
121,0,-0.921783,-0.921783,2.1684e-18,0,-3.25261e-18,0.434533,-1.84357,0.460891,20
122,0,-0.767274,-0.767274,2.75387e-17,0,-5.22585e-17,0.361697,-1.53455,0.383637,20
123,0,-0.618496,-0.618496,-9.32414e-18,6.93889e-18,7.91468e-17,0.291562,-1.23699,0,20
124,0,-0.479112,-0.479112,-1.92988e-17,2.08167e-17,-8.23994e-18,0.225856,-0.958224,0.239556,20
125,0,-0.352554,-0.352554,7.11237e-17,-2.77556e-17,-7.30752e-17,0.166196,-0.705108,0.176277,20
126,0,-0.241938,-0.241938,1.48102e-16,-5.55112e-17,-5.11743e-17,0.114051,-0.483876,0,20
127,0,-0.149988,-0.149988,7.63278e-17,-2.08167e-17,-5.07407e-17,0.0707051,-0.299976,0.0749941,20
128,0,-0.0789685,-0.0789685,-9.99634e-17,-1.38778e-17,1.23599e-17,0.0372261,-0.157937,0.0394842,20
129,0,-0.0306276,-0.0306276,-2.1684e-17,-1.56125e-17,6.5269e-17,0.014438,-0.0612551,0.0153138,20
130,0,-0.00615583,-0.00615583,-2.68882e-17,-3.90313e-18,2.79724e-17,0.00290189,-0.0123117,0.00307791,20
131,0,-0.921783,-0.921783,0.0312869,-3.125e-11,0.00246233,0.435287,-1.84357,0.461959,20
132,0,-0.767274,-0.767274,0.0305165,-5.18749e-11,0.00732636,0.362603,-1.53455,0.384919,20
133,0,-0.618496,-0.618496,0.0289947,-3e-11,0.01201,0.292686,-1.23699,0.310837,20
134,0,-0.479112,-0.479112,0.026759,-2.81249e-11,0.0163979,0.227305,-0.958224,0.241603,20
135,0,-0.352554,-0.352554,0.0238643,-1.87499e-11,0.020382,0.168159,-0.705108,0.179049,20
136,0,-0.241938,-0.241938,0.020382,-4.37499e-11,0.0238643,0.116894,-0.483876,0.124974,20
137,0,-0.149988,-0.149988,0.0163979,-4.0625e-11,0.026759,0.0752053,-0.299976,0.0812961,20
138,0,-0.0789685,-0.0789685,0.01201,-1.75e-11,0.0289947,0.045193,-0.157937,0.0504375,20
139,0,-0.0306276,-0.0306276,0.00732636,1.0625e-11,0.0305165,0.0294122,-0.0612551,0.0349205,20
140,0,-0.00615583,-0.00615583,0.00246233,3.125e-11,0.0312869,0.0257884,-0.0123117,0.0315342,20
141,0,-0.921783,-0.921783,0.0625738,-1.3125e-10,0.00492466,0.437544,-1.84357,0.465146,20
142,0,-0.767274,-0.767274,0.061033,-5.8125e-11,0.0146527,0.365309,-1.53455,0.388738,20
143,0,-0.618496,-0.618496,0.0579894,1.325e-10,0.02402,0.296032,-1.23699,0.315554,20
144,0,-0.479112,-0.479112,0.0535179,1.21875e-10,0.0327958,0.231597,-0.958224,0.247643,20
145,0,-0.352554,-0.352554,0.0477286,6.25e-11,0.0407641,0.173918,-0.705108,0.187118,20
146,0,-0.241938,-0.241938,0.0407641,1.38778e-17,0.0477286,0.125036,-0.483876,0.136284,20
147,0,-0.149988,-0.149988,0.0327958,3.12496e-12,0.0535179,0.0873253,-0.299976,0.0977949,20
148,0,-0.0789685,-0.0789685,0.02402,-7.5001e-12,0.0579894,0.0633425,-0.157937,0.0741535,20
149,0,-0.0306276,-0.0306276,0.0146527,1.08125e-10,0.061033,0.0532442,-0.0612551,0.0646084,20
150,0,-0.00615583,-0.00615583,0.00492466,1.1875e-10,0.0625738,0.0513314,-0.0123117,0.0628427,20
151,0,-0.921783,-0.921783,-0.0650361,-2.4375e-10,0.0263622,0.438294,-1.84357,0.466203,20
152,0,-0.767274,-0.767274,-0.0683594,-1.91875e-10,0.0158638,0.366207,-1.53455,0.390003,20
153,0,-0.618496,-0.618496,-0.0699994,1.08125e-10,0.0049747,0.297139,-1.23699,0.31711,20
154,0,-0.479112,-0.479112,-0.0699158,-3.75e-11,-0.00603686,0.23301,-0.958224,0.249623,20
155,0,-0.352554,-0.352554,-0.0681107,-1.5625e-10,-0.0168998,0.175796,-0.705108,0.189732,20
156,0,-0.241938,-0.241938,-0.0646284,-6.25001e-11,-0.0273466,0.127635,-0.483876,0.139851,20
157,0,-0.149988,-0.149988,-0.0595548,1.04083e-17,-0.03712,0.0910073,-0.299976,0.102707,20
158,0,-0.0789685,-0.0789685,-0.0530147,-3.125e-11,-0.0459794,0.0683293,-0.157937,0.0805212,20
159,0,-0.0306276,-0.0306276,-0.0451692,-6.25e-11,-0.0537066,0.0590895,-0.0612551,0.0718274,20
160,0,-0.00615583,-0.00615583,-0.0362116,-3.125e-11,-0.0601115,0.0573719,-0.0123117,0.0702434,20
161,0,-0.921783,-0.921783,-0.0337492,-6.24999e-11,0.0288246,0.436041,-1.84357,0.463023,20
162,0,-0.767274,-0.767274,-0.0378429,-7.3125e-11,0.0231901,0.363507,-1.53455,0.386196,20
163,0,-0.618496,-0.618496,-0.0410047,-4.37492e-12,0.0169847,0.293805,-1.23699,0.312417,20
164,0,-0.479112,-0.479112,-0.0431569,3.46945e-17,0.010361,0.228744,-0.958224,0.243633,20
165,0,-0.352554,-0.352554,-0.0442463,2.50001e-11,0.00348226,0.170101,-0.705108,0.181779,20
166,0,-0.241938,-0.241938,-0.0442463,3.75001e-11,-0.00348226,0.11967,-0.483876,0.128854,20
167,0,-0.149988,-0.149988,-0.0431569,6.25002e-12,-0.010361,0.079451,-0.299976,0.0871435,20
168,0,-0.0789685,-0.0789685,-0.0410047,-1.0625e-11,-0.0169847,0.0519522,-0.157937,0.0594043,20
169,0,-0.0306276,-0.0306276,-0.0378429,-1.0625e-11,-0.0231901,0.039009,-0.0612551,0.0469508,20
